,MisconceptionId,MisconceptionName,response
10,10,"Believes duration can be read from a timetable, rather than calculating from start and end times","<Construct Name>Calculate duration from start and end times </Construct Name>  
<Subject Name>Time Calculations and Timetables </Subject Name>  
<Question>Maria is planning her train journey. The train departs from Station A at \( 14:45 \) and arrives at Station B at \( 16:30 \). What is the duration of the journey? </Question>  
<Correct Answer>\( 1 \) hour and \( 45 \) minutes </Correct Answer>  
<Incorrect Answer>\( 16:30 - 14:45 = 1:45 \) (incorrectly interpreted as \( 1 \) hour and \( 15 \) minutes) </Incorrect Answer>  
"
11,11,"When reading value from graph, reads from the wrong axes.","<Construct Name>Interpret data from a bar chart</Construct Name>  
<Subject Name>Statistics</Subject Name>  
<Question>The bar chart below shows the number of books read by students in a month.  
![A bar chart with the x-axis labeled ""Students"" and the y-axis labeled ""Number of Books"". The students are labeled A, B, C, and D. The heights of the bars are as follows: A - 5 books, B - 8 books, C - 3 books, D - 7 books.]()  
How many more books did student B read compared to student C?</Question>  
<Correct Answer>\( 5 \) books</Correct Answer>  
<Incorrect Answer>\( 2 \) books</Incorrect Answer>  
"
12,12,Thinks that the side view does not include the furthest rows back,"<Construct Name>Interpret side views of 3D objects </Construct Name>  
<Subject Name>3D Visualization and Projection </Subject Name>  
<Question>Consider a stack of cubes arranged in a 3x3 grid, with the following heights:  
- First row: 2 cubes, 1 cube, 3 cubes  
- Second row: 1 cube, 3 cubes, 2 cubes  
- Third row: 3 cubes, 2 cubes, 1 cube  

What is the side view from the left? </Question>  
<Correct Answer>3 cubes, 3 cubes, 3 cubes </Correct Answer>  
<Incorrect Answer>2 cubes, 1 cube, 3 cubes </Incorrect Answer>  
"
13,13,"Does not subtract from the hours, when having to borrow for a time calculation","<Construct Name>Subtracting time with borrowing </Construct Name>
<Subject Name>Time Calculations </Subject Name>
<Question>Calculate the difference between 3:45 PM and 1:50 PM. </Question>
<Correct Answer>1 hour and 55 minutes </Correct Answer>
<Incorrect Answer>2 hours and 5 minutes </Incorrect Answer>
"
14,14,Does not understand how to create a multiple of an equation,"<Construct Name>Given an equation, form or identify related equations </Construct Name>
<Subject Name>Writing Expressions </Subject Name>
<Question>Tom and Katie are discussing this equation:
\[
x+y=12
\] Tom uses the equation to write:
\[
3 x+3 y=36
\] Katie uses the equation to write:
\[
x+2 y=24
\] Who has written a related linear equation? </Question> 
<Correct Answer>Only Tom </Correct Answer>
<Incorrect Answer>Neither is correct </Incorrect Answer>
"
15,15,"Confuses the order of operations, believes addition comes before division","<Construct Name>Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division </Construct Name>
<Subject Name>BIDMAS </Subject Name>
<Question>\( 20 \div 4 + 3 \times 2 = \) </Question> 
<Correct Answer>\( 11 \) </Correct Answer>
<Incorrect Answer>\( 8 \) </Incorrect Answer>
"
16,16,Believes that graphs of inverse proportion meet the axes,"<Construct Name>Recognise graphical representations of inverse proportion in the form y = k/x </Construct Name>  
<Subject Name>Indirect (Inverse) Proportion </Subject Name>  
<Question>Which of the following graphs is most likely to illustrate the speed of a car \( (s) \) as it travels a fixed distance \( (d) \) over time \( (t) \)? </Question>  
<Correct Answer>![A curved line from top left rapidly descending as it moves right before slowing down and levelling out ]() </Correct Answer>  
<Incorrect Answer>![A straight line from top left to bottom right, starting from above the origin]() </Incorrect Answer>  
"
17,17,Confuses AM and PM when calculating time,"<Construct Name>Calculate elapsed time using AM and PM notation </Construct Name>
<Subject Name>Time Calculations </Subject Name>
<Question>If a train departs at 9:00 AM and arrives at 3:00 PM, how long is the journey? </Question> 
<Correct Answer>6 hours </Correct Answer>
<Incorrect Answer>18 hours </Incorrect Answer>
"
18,18,"Given the length of the sides, still does not recognise there is enough information to find the area","<Construct Name>Calculate the area of a rectangle using given side lengths </Construct Name>
<Subject Name>Geometry </Subject Name>
<Question>A rectangle has a length of 8 cm and a width of 5 cm. What is the area of the rectangle? </Question> 
<Correct Answer>The area is \( 40 \) square centimeters. </Correct Answer>
<Incorrect Answer>There is not enough information to find the area. </Incorrect Answer>
"
19,19,"When multiplying a surd by an integer, adds the integer to the number under the surd","<Construct Name>Multiply surds by an integer </Construct Name>
<Subject Name>Operations with Surds </Subject Name>
<Question>\(7 \times \sqrt{5}\)

Simplify, if possible. </Question> 
<Correct Answer>\( 7 \sqrt{5} \) </Correct Answer>
<Incorrect Answer>\( \sqrt{12} \) </Incorrect Answer>
"
20,20,Believes the number of wholes in a mixed number multiplies by the fraction part,"<Construct Name>Convert from improper fractions to mixed number fractions </Construct Name>  
<Subject Name>Converting Mixed Number and Improper Fractions </Subject Name>  
<Question>Convert this into a mixed number fraction:  
\(\frac{13}{5}\) </Question>  
<Correct Answer>\(2 \frac{3}{5}\) </Correct Answer>  
<Incorrect Answer>\(13 \frac{1}{5}\) </Incorrect Answer>  
"
21,21,Estimates shares of a ratio instead of calculating,"<Construct Name>Divide a quantity into multiple parts for a given ratio, where each part is an integer </Construct Name>
<Subject Name>Sharing in a Ratio </Subject Name>
<Question>Share \( £450 \) in the ratio \( 3: 5: 7 \) </Question> 
<Correct Answer>\( £90: £150: £210 \) </Correct Answer>
<Incorrect Answer>\( £100: £150: £200 \) </Incorrect Answer>
"
22,22,Confuses the ten thousands and thousands place value columns,"<Construct Name>Identify the digit in the ten thousands place </Construct Name>  
<Subject Name>Place Value </Subject Name>  
<Question>What digit is in the ten thousands place in the number \( 58247 \)? </Question>  
<Correct Answer>\( 5 \) </Correct Answer>  
<Incorrect Answer>\( 8 \) </Incorrect Answer>  
"
23,23,Does not understand the command word 'difference',"<Construct Name>Calculate the difference between two numbers </Construct Name>
<Subject Name>Arithmetic </Subject Name>
<Question>In a class test, Sarah scored 85 marks and John scored 78 marks. What is the difference between Sarah's and John's scores? </Question>
<Correct Answer>\( 7 \) </Correct Answer>
<Incorrect Answer>\( 163 \) </Incorrect Answer>
"
24,24,Does not understand the term multiple,"<Construct Name>Identify and list multiples of a given number </Construct Name>
<Subject Name>Number Theory </Subject Name>
<Question>Identify the first five multiples of 4. </Question>
<Correct Answer>4, 8, 12, 16, 20 </Correct Answer>
<Incorrect Answer>4, 5, 6, 7, 8 </Incorrect Answer>
"
25,25,Does not realise that when you multiply by 0 the answer will always be 0,"<Construct Name>Understanding the effect of multiplying by zero </Construct Name>  
<Subject Name>Basic Arithmetic </Subject Name>  
<Question>Calculate the product of \( 7 \times 0 \times 5 \). </Question>  
<Correct Answer>\( 0 \) </Correct Answer>  
<Incorrect Answer>\( 35 \) </Incorrect Answer>  
"
26,26,Thinks x = ? or y = ? is y = x,"<Construct Name>Identify the equation of a vertical or horizontal line on a coordinate plane </Construct Name>
<Subject Name>Coordinate Geometry </Subject Name>
<Question>Given the line \( x = 4 \), what is the equation of the line parallel to it that passes through the point \( (6, 3) \)? </Question> 
<Correct Answer>\( x = 6 \) </Correct Answer>
<Incorrect Answer>\( y = 6 \) </Incorrect Answer>
"
27,27,Believes squaring a fraction requires you to double both parts,"<Construct Name>Understanding how to square fractions </Construct Name>  
<Subject Name>Fractions and Exponents </Subject Name>  
<Question>If \( \left(\frac{3}{5}\right)^2 = \frac{a}{b} \), what are the values of \( a \) and \( b \)? </Question>  
<Correct Answer>\( a = 9, b = 25 \) </Correct Answer>  
<Incorrect Answer>\( a = 6, b = 10 \) </Incorrect Answer>  
"
28,28,Thinks the interior angles of any polygon add up to 360,"<Construct Name>Work out the sum of the interior angles in polygons </Construct Name>  
<Subject Name>Angles in Polygons </Subject Name>  
<Question>What do all the interior angles of this shape add up to? ![Image of an irregular heptagon]() </Question>  
<Correct Answer>\( 900^{\degree} \) </Correct Answer>  
<Incorrect Answer>\( 360^{\degree} \) </Incorrect Answer>  
"
29,29,Forgot to simplify the fraction,"<Construct Name>Multiply fractions and simplify the result </Construct Name>
<Subject Name>Multiplying Fractions </Subject Name>
<Question>Calculate:
\(
\frac{2}{3} \times \frac{3}{4}
\)
Write your answer in its simplest form. </Question> 
<Correct Answer>\( \frac{1}{2} \) </Correct Answer>
<Incorrect Answer>\( \frac{6}{12} \) </Incorrect Answer>
"
30,30,"When asked for a number n times smaller or bigger, subtracts or adds n","<Construct Name>Calculate a number that is n times smaller or bigger than a given number </Construct Name>
<Subject Name>Multiplicative Reasoning </Subject Name>
<Question>If the number 24 is 3 times bigger than another number, what is that number? </Question> 
<Correct Answer>\( 8 \) </Correct Answer>
<Incorrect Answer>\( 21 \) </Incorrect Answer>
"
31,31,Does not understand bar modelling in algebra,"<Construct Name>Representing relationships using bar models</Construct Name>  
<Subject Name>Linear Equations</Subject Name>  
<Question>Consider the equation \( 4x + 3 = 2y \). Which bar model correctly represents this equation?  
Model A: \begin{tabular}{|c|c|c|c|c|}  
\hline  
\( x \) & \( x \) & \( x \) & \( x \) & \( 3 \) \\  
\hline  
\end{tabular}  
Model B: \begin{tabular}{|c|c|}  
\hline  
\( y \) & \( y \) \\  
\hline  
\end{tabular}  
</Question>  
<Correct Answer>Model A represents \( 4x + 3 \) and Model B represents \( 2y \). Therefore, both models together correctly represent the equation \( 4x + 3 = 2y \).</Correct Answer>  
<Incorrect Answer>Model A alone represents the equation \( 4x + 3 = 2y \).</Incorrect Answer>  
"
32,32,"When squaring a variable, believes they also need to square the coefficient","<Construct Name>Expand and simplify expressions involving squares of binomials </Construct Name>
<Subject Name>Algebraic Expansion and Simplification </Subject Name>
<Question>Expand and simplify the expression \( (3x + 2)^2 \). </Question>
<Correct Answer>\( 9x^2 + 12x + 4 \) </Correct Answer>
<Incorrect Answer>\( 81x^2 + 12x + 4 \) </Incorrect Answer>
"
33,33,Uses more than 3 letters to describe an angle,"<Construct Name>Label angles using correct 3-letter notation (e.g. angle ADB) </Construct Name>
<Subject Name>Types, Naming and Estimating </Subject Name>
<Question>Which of the following correctly describes the marked angle? ![Pentagon ABCDE with angle BCD highlighted in red]() </Question> 
<Correct Answer>\( B C D \) </Correct Answer>
<Incorrect Answer>ABCDE </Incorrect Answer>
"
34,34,Believes dividing a negative by a positive gives a positive answer,"<Construct Name>Perform division operations involving negative and positive integers </Construct Name>  
<Subject Name>Integer Division </Subject Name>  
<Question>Calculate the result of dividing \(-24\) by \(6\). </Question>  
<Correct Answer>\(-4\) </Correct Answer>  
<Incorrect Answer>\(4\) </Incorrect Answer>  
"
35,35,Believes you add 2 instead of subtracting 2 to the numbers of sides when finding total interior angles,"<Construct Name>Work out the sum of the interior angles of a polygon </Construct Name>
<Subject Name>Geometry - Polygons </Subject Name>
<Question>What is the sum of the interior angles of a decagon? </Question> 
<Correct Answer>\( 1440^{\degree} \) </Correct Answer>
<Incorrect Answer>\( 2160^{\degree} \) </Incorrect Answer>
"
36,36,Enlarges by the wrong centre of enlargement,"<Construct Name>Enlarge a shape, with a centre of enlargement given, by a positive scale factor bigger than 1, where the centre of enlargement lies on the edge or outside of the object </Construct Name>
<Subject Name>Enlargement </Subject Name>
<Question>The triangle is enlarged by scale factor \( 3 \), with the centre of enlargement at \( (1,0) \).
What are the new coordinates of the point marked \( T \) ? ![A coordinate grid with the x-axis going from -1 to 10 and the y-axis going from -1 to 7.
3 points are plotted and joined with straight lines to form a triangle. The points are (1,1), (1,4) and (3,1). Point (3,1) is labelled as T.
Point (1,0) is also plotted.]() </Question> 
<Correct Answer>\( (7,3) \) </Correct Answer>
<Incorrect Answer>\( (9,3) \) </Incorrect Answer>
"
37,37,Rounded to wrong degree of accuracy (2sf not 1sf),"<Construct Name>Round numbers to one significant figure for estimation purposes </Construct Name>
<Subject Name>Estimation </Subject Name>
<Question>Tom wants to estimate the result of the following multiplication by rounding each number to \( 1 \) significant figure.

\[
56.3 \times 0.478
\]

What number should replace \( \mathbf{5 6 . 3} \) in his estimation? </Question> 
<Correct Answer>\( 60 \) </Correct Answer>
<Incorrect Answer>\( 56 \) </Incorrect Answer>
"
38,38,Believes the sides of an inequality can be switched without changing the direction of the sign,"<Construct Name>Solve linear inequalities in one variable that require multiple steps where the variable appears on both sides of the equation </Construct Name>
<Subject Name>Solving Linear Inequalities </Subject Name>
<Question>Solve the inequality:
\[ 5x + 7 < 2x + 19 \] </Question>
<Correct Answer>\( x < 4 \) </Correct Answer>
<Incorrect Answer>\( x > 4 \) </Incorrect Answer>
"
39,39,Multiplies by 1000 instead of 100 when converting a decimal to a percentage,"<Construct Name>Convert decimals less than 1 to percentages </Construct Name>  
<Subject Name>Converting between Decimals and Percentages </Subject Name>  
<Question>Convert the decimal \( 0.045 \) to a percentage. </Question>  
<Correct Answer>\( 4.5 \% \) </Correct Answer>  
<Incorrect Answer>\( 45 \% \) </Incorrect Answer>  
"
40,40,Believes midpoint multiplied by frequency is equivalent to frequency density,"<Construct Name>Calculate frequency density for a histogram </Construct Name>  
<Subject Name>Statistics and Probability </Subject Name>  
<Question>A histogram is to be drawn for the following data:

| Class Interval | Frequency |
|----------------|-----------|
| 10 - 20        | 15        |
| 20 - 30        | 25        |

Calculate the frequency density for the class interval 10 - 20. </Question>  
<Correct Answer>Frequency density = \(\frac{\text{Frequency}}{\text{Class Width}} = \frac{15}{10} = 1.5\) </Correct Answer>  
<Incorrect Answer>Frequency density = \(\text{Midpoint} \times \text{Frequency} = 15 \times 15 = 225\) </Incorrect Answer>  
"
41,41,Believes the mean is the number of categories given divided by something,"<Construct Name>Calculate the mean of a data set </Construct Name>
<Subject Name>Statistics </Subject Name>
<Question>A teacher records the number of books read by each student in a class over a month: \([3, 5, 7, 2, 4]\). What is the mean number of books read? </Question> 
<Correct Answer>\( \frac{3+5+7+2+4}{5} = \frac{21}{5} = 4.2 \) </Correct Answer>
<Incorrect Answer>\( \frac{5}{2} = 2.5 \) </Incorrect Answer>
"
42,42,Believes that the complement of a set includes any elements which are also in another set.,"<Construct Name>Identify the regions on a double Venn diagram given in set notation </Construct Name>
<Subject Name>Venn Diagrams </Subject Name>
<Question>Which element(s) is/are in \( A^{\prime} \) ? ![A diagram showing a Venn diagram of 2 circles. The left circle is for Set A and contains apple in its left part, banana in the intersection. The right circle is for set B and contains orange in its right part, banana in the intersection. Outside of the circles it says grape.]() </Question> 
<Correct Answer>orange & grape </Correct Answer>
<Incorrect Answer>banana, orange & grape </Incorrect Answer>
"
43,43,Confuses the terms edges and vertices,"<Construct Name>Identify the number of edges and vertices in a 3D shape </Construct Name>
<Subject Name>Geometry of 3D Shapes </Subject Name>
<Question>Consider a cube. How many edges does it have? </Question>
<Correct Answer>A cube has 12 edges. </Correct Answer>
<Incorrect Answer>A cube has 8 edges. </Incorrect Answer>
"
44,44,"When adding or subtracting surds, just adds or subtracts the numbers under the surd rather than first trying to simplifying to find like surds","<Construct Name>Add surds in the form va + vb </Construct Name>
<Subject Name>Simplifying Surds </Subject Name>
<Question>\( \sqrt{12} + \sqrt{27} \)

Simplify, if possible. </Question> 
<Correct Answer>\( 3\sqrt{3} + 3\sqrt{3} = 6\sqrt{3} \) </Correct Answer>
<Incorrect Answer>\( \sqrt{39} \) </Incorrect Answer>
"
45,45,"When asked for the value of a digit, gives an answer 10 times too big","<Construct Name>Recognise the place value of each digit in integers </Construct Name>
<Subject Name>Place Value </Subject Name>
<Question>What is the value of the \( 4 \) in the number below?
\(
54789
\) </Question> 
<Correct Answer>\( 4000 \) </Correct Answer>
<Incorrect Answer>\( 40000 \) </Incorrect Answer>
"
46,46,Does not realise that division can be broken down into factors,"<Construct Name>Understanding division through factorization </Construct Name>
<Subject Name>Number Theory </Subject Name>
<Question>What is the result of dividing \( 180 \) by \( 12 \) using factorization? </Question> 
<Correct Answer>First, factorize both numbers: \( 180 = 2^2 \times 3^2 \times 5 \) and \( 12 = 2^2 \times 3 \). Then, divide by canceling common factors: \( \frac{180}{12} = \frac{2^2 \times 3^2 \times 5}{2^2 \times 3} = 3 \times 5 = 15 \). </Correct Answer>
<Incorrect Answer>Divide directly without factorization: \( \frac{180}{12} = 15 \) (without understanding the factorization process). </Incorrect Answer>
"
47,47,Believes y=-f(x) is a reflection in y=x,"<Construct Name>Identify vertical reflections in the form f(x) = for non-trigonometric functions </Construct Name>
<Subject Name>Transformations of functions in the form f(x) </Subject Name>
<Question>What transformation maps the graph of \(y=f(x)\) to the graph of \(y=-f(x)\)? </Question> 
<Correct Answer>Reflection in the \[x \text {-axis }\] </Correct Answer>
<Incorrect Answer>Reflection in the line \[y=x\] </Incorrect Answer>
"
48,48,Thinks corresponding angles sum to 360 degrees,"<Construct Name>Find missing angles on parallel lines using corresponding angles </Construct Name>  
<Subject Name>Angle Facts with Parallel Lines </Subject Name>  
<Question>Calculate the missing angle \( x \). ![Two parallel horizontal lines with a transversal. The upper interior angle to the left of the transversal is marked 'x'. The angle to the left of the transversal and lying below the lower parallel line is marked '110'. ]() </Question>  
<Correct Answer>\( x=110^{\circ} \) </Correct Answer>  
<Incorrect Answer>\( x=250^{\circ} \) </Incorrect Answer>  
"
49,49,Doesn't believe that when you divide by 0 the answer will always be 0,"<Construct Name>Understanding division by zero and its implications </Construct Name>
<Subject Name>Arithmetic and Number Theory </Subject Name>
<Question>Evaluate the expression: \( \frac{0}{0} \). What is the result? </Question>
<Correct Answer>Undefined </Correct Answer>
<Incorrect Answer>\( 0 \) </Incorrect Answer>
"
50,50,"When given a non-unit fraction of an amount and asked to find the total, answers as if it had been the unit fraction","<Construct Name>Find the total amount given a non-unit fraction of it </Construct Name>
<Subject Name>Fractions </Subject Name>
<Question>If \(\frac{3}{5}\) of a bag of apples weighs 12 kg, how much does the entire bag weigh? </Question> 
<Correct Answer>The entire bag weighs 20 kg. </Correct Answer>
<Incorrect Answer>The entire bag weighs 60 kg. </Incorrect Answer>
"
51,51,Does not use angle facts when setting up an equation from an angle diagram,"<Construct Name>Use angles around a point with algebra to prove results </Construct Name>
<Subject Name>Basic Angle Facts (straight line, opposite, around a point, etc) </Subject Name>
<Question>Which of the following statements can you prove from this diagram? ![Angles around a point split into three parts with the parts labelled: m+50, 2m+n and 220-2m]() </Question> 
<Correct Answer>\( m+n=90 \) </Correct Answer>
<Incorrect Answer>\( m+n=270 \) </Incorrect Answer>
"
52,52,When asked for a specific term in a sequence gives the term before,"<Construct Name>Use a quadratic sequence to find a specific term in the sequence </Construct Name>
<Subject Name>Quadratic Sequences </Subject Name>
<Question>Given the sequence: \( 3, 8, 15, 24, 35, \ldots \), find the \( 6 \) th term of the sequence. </Question> 
<Correct Answer>\( 48 \) </Correct Answer>
<Incorrect Answer>\( 35 \) </Incorrect Answer>
"
53,53,Thinks circumference is radius x pi,"<Construct Name>Calculate the circumference of a circle </Construct Name>
<Subject Name>Geometry </Subject Name>
<Question>A circular garden has a radius of \( 5 \) meters. What is the circumference of the garden? </Question> 
<Correct Answer>\( 2 \times \pi \times 5 = 10\pi \) meters </Correct Answer>
<Incorrect Answer>\( 5 \times \pi = 5\pi \) meters </Incorrect Answer>
"
54,54,Believes the arrow on a number line points to the middle value,"<Construct Name>Identify the position of a point on a number line where the point is not centered between two marked values </Construct Name>
<Subject Name>Number Line Interpretation </Subject Name>
<Question>![A horizontal number line with 11 equally spaced dashes. The number ""0"" is marked above the 1st dash, and the number ""10"" is marked above the 11th dash. A blue arrow is pointing to the 8th dash.]() What number is the arrow pointing to? </Question>
<Correct Answer>\( 7 \) </Correct Answer>
<Incorrect Answer>\( 5 \) </Incorrect Answer>
"
55,55,"When subtracting a negative number from a positive number, uses a method which assumes one of the negative signs can be ignored ","<Construct Name>Evaluate expressions involving the subtraction of negative numbers </Construct Name>
<Subject Name>Basic Arithmetic Operations </Subject Name>
<Question>Calculate the result of the following expression: \( 15 - (-4) \) </Question> 
<Correct Answer>\( 19 \) </Correct Answer>
<Incorrect Answer>\( 11 \) </Incorrect Answer>
"
56,56,Assumes a negative number is not rational,"<Construct Name>Understanding Rational Numbers</Construct Name>  
<Subject Name>Number Theory</Subject Name>  
<Question>Determine whether the following number is rational or irrational: \(-\frac{7}{3}\)</Question>  
<Correct Answer>The number \(-\frac{7}{3}\) is rational because it can be expressed as a fraction of two integers, where the denominator is not zero.</Correct Answer>  
<Incorrect Answer>The number \(-\frac{7}{3}\) is irrational because it is negative, and irrational numbers cannot be negative.</Incorrect Answer>  
"
57,57,Believes the solution to mx + c = a is the x intercept of y = mx +c,"<Construct Name>Given a sketch of a linear graph solve f(x) = n </Construct Name>  
<Subject Name>Linear Equations </Subject Name>  
<Question>This is the graph of  
\(y=3x+2\)  
![A set of axes with the graph y=3x+2 drawn on.]() Use the graph to solve  
\(3x+2=5\) </Question>  
<Correct Answer>\( x=1 \) </Correct Answer>  
<Incorrect Answer>\( x=-\frac{2}{3} \) </Incorrect Answer>  
"
58,58,"When dividing, confuses the remainder with the quotient","<Construct Name>Divide integers up to 3 digits using long division </Construct Name>
<Subject Name>Written Division </Subject Name>
<Question>When using long-division to solve this problem, what digit should replace the square to give the correct answer (quotient)? ![Division sum written out in Bus Stop format with dividend = 157, divisor = 5, the digits of the quotient are represented by a yellow star and a green square.]() </Question> 
<Correct Answer>\( 1 \) </Correct Answer>
<Incorrect Answer>\( 2 \) </Incorrect Answer>
"
59,59,Cannot identify a common factor when simplifying algebraic fractions,"<Construct Name>Simplifying algebraic fractions by identifying common factors </Construct Name>
<Subject Name>Algebraic Fractions </Subject Name>
<Question>Simplify the algebraic fraction: \(\frac{6x^2 + 9x}{3x}\) </Question> 
<Correct Answer>\(2x + 3\) </Correct Answer>
<Incorrect Answer>\(6x + 9\) </Incorrect Answer>
"
60,60,"Has written the value of the 'ones' column as the answer, withiut using the numbers in the question.","<Construct Name>Multiply 2 digit integers by 2 digit integers using long multiplication </Construct Name>  
<Subject Name>Written Multiplication </Subject Name>  
<Question>\( \begin{array}{r}\quad47 \\ \times 36 \\ \hline\end{array} \) What number will be in the ones/units column of the final answer? </Question>  
<Correct Answer>\( 2 \) </Correct Answer>  
<Incorrect Answer>\( 1 \) </Incorrect Answer>  
"
61,61,Multiplies by 10 instead of 100 when converting decimal to percentage,"<Construct Name>Convert decimals less than 1 with 1 decimal place to percentages </Construct Name>  
<Subject Name>Converting between Decimals and Percentages </Subject Name>  
<Question>Convert \( 0.7 \) to a percentage. </Question>  
<Correct Answer>\( 70 \% \) </Correct Answer>  
<Incorrect Answer>\( 7 \% \) </Incorrect Answer>  
"
62,62,Does not realise that a curved line represents a changing gradient,"<Construct Name>Interpret the gradient of a curve at a point </Construct Name>
<Subject Name>Calculus </Subject Name>
<Question>Consider the curve given by the equation \( y = x^2 + 3x + 2 \). What is the gradient of the curve at \( x = 2 \)? </Question>
<Correct Answer>\( 7 \) </Correct Answer>
<Incorrect Answer>\( 3 \) </Incorrect Answer>
"
63,63,Believes 'data' and 'sample' are interchangeable,"<Construct Name>Differentiate between a sample and the entire data set in statistical analysis </Construct Name>
<Subject Name>Statistics </Subject Name>
<Question>A researcher collects data from 100 students out of a school of 1000 students to understand the average study time. What is the sample in this context? </Question> 
<Correct Answer>The 100 students surveyed </Correct Answer>
<Incorrect Answer>The entire school of 1000 students </Incorrect Answer>
"
64,64,Mixes up squaring and multiplying by 4,"<Construct Name>Calculate the square of a number </Construct Name>  
<Subject Name>Squares, Cubes, etc </Subject Name>  
<Question>What is the value of \( 5^{2} \) ? </Question>  
<Correct Answer>\( 25 \) </Correct Answer>  
<Incorrect Answer>\( 20 \) </Incorrect Answer>  
"
65,65,Cannot spot a variable within a written scenario,"<Construct Name>Identify variables in word problems </Construct Name>
<Subject Name>Algebraic Expressions and Equations </Subject Name>
<Question>Sarah has \( x \) apples. She buys 3 more apples and gives 2 apples to her friend. How many apples does Sarah have now? </Question>
<Correct Answer>\( x + 1 \) </Correct Answer>
<Incorrect Answer>\( 3 \) </Incorrect Answer>
"
