MisconceptionId,MisconceptionName
516,Thinks the inverse of multiplication is addition
517,Assumes triangles are isosceles if they look like they are isosceles
518,Thinks that to decrease by a percentage you multiply by 1+ the decimal equivalent to that percentage
522,Does not count from the centre of enlargement to find the image
523,Believes you cannot have a negative gradient when plotting a linear sequence
529,Believes cumulative frequency is the product rather than sum of frequencies
530,Confuses the formulas for the circumference of a full circle and the perimeter of a sector
534,Does not understand what an interior angle is
535,Believes a missing length on a cuboid can be found by doing volume divided by a different length
536,Ignores coefficients when forming an expression from a question
538,Does not perform calculations in the numerator of a fraction before division by the denominator
541,"When asked to find a missing number in a factor tree, finds any factor of the given number rather than the pair of the factor already given."
543,"Thinks that when drawing a plan view, you only include the top layer of the shape"
546,"After multiplying to get a common denominator, simplifies back to the original fractions"
548,Believes that a fractional index means you need to find the reciprocal
552,Thinks the units for speed should not contain a measure of time
555,Only counts visible edges
559,Thinks depth is marked on the cross section of a prism
560,Confuses class width and upper bound of the class
561,Misinterprets the order of division in worded problems
562,"When drawing a histogram, believes you plot cumulative frequency on the vertical axis"
569,Believes the solutions to an equation have opposite signs from its x intercepts
571,Believes a smaller number of shaded parts represents a smaller fraction
574,Thinks there are 100mm in a km
575,Thinks that when you put an input into a function machine you apply the inverse operation rather than the operation given.
579,Thinks you cannot multiply by a decimal to get equivalent fractions
580,Does not understand use of the counters to represent algebra
582,Confuses the dependent and independent variables on the axes of a line graph
586,Mixes up square numbers and prime numbers
592,Thinks a fractional scale factor changes direction as well as size
593,Thinks multiplying by a variable is the same as raising to the power of that variable
595,Believes the adjacent side is where the opposite side is in a right angled triangle
596,Chosen the longest value rather than the greatest
597,Thinks that to decrease by a percentage you just multiply by the decimal equivalent to that percentage
598,"When subtracting a surd from an integer, just divides the integer by the number under the surd"
605,Believes the sin graph relates to the tan function
607,Thinks the area of a sector is theta/360 x r x pi (forgetting the radius is squared)
610,Does not recognise how to write a list of prime factors from a factor tree
612,"Believes that when a shape is enlarged, the area rather than the scale factor is squared"
613,Thinks 0.3 = 1/3
615,Adds rather than subtracts when using Pythagoras to find a shorter side
622,Thinks the gradient of a line is found from 2 points by finding the length of that line between those points
627,Does not realise similar has a specific mathematical meaning
632,Confuses range and interquartile range
634,Does not know the term numerator
636,Mixes up constant and coefficient in a worded substitution problem
640,Does not find the angle being asked
645,Believes enlargement by scale factor -1 exchanges the x and y coordinates
647,Thinks co-interior angles sum to 90 degrees
660,Thinks that the perimeter on a square grid is the number of squares inside that are touching the perimeter of the shape
662,Believes that a number divided by itself equals the original number
665,Believes that the gradient of a horizontal line is undefined
667,Only considers elements in one set when asked to find the intersection of multiple sets
675,"When interpolating using a line of best fit, reads off the value for the closest point to the line rather than the value given by the line of best fit "
676,Does not recognise that an equation will stay balanced if all terms are multiplied/divided by the same amount
677,"When asked to subtract a fraction from a unit, removes the unit value from the numerator."
678,Believes you cannot find the mode from a pie chart
679,Gives a fraction when asked for a decimal
681,"When drawing a cumulative frequency diagram, thinks you plot cumulative frequency on the horizontal axis"
682,Thinks millimetres and centimetres are the same
683,"When factorising, believes they can choose different factors for each term"
689,"When multiplying algebraic terms written in the same base, adds the base variables and multiplies the powers."
692,Only uses two terms of a sequence to work out a term-to-term rule
693,Does not divide to get a unitary amount before scaling up
696,"In the middle of the total column or row of a two way table, adds the other totals (including overall total), rather than finding the difference"
697,Arithmetic error when multiplying by 7
698,Believes each number on a clock face represents 1 minute
700,"When calculating missing side length from perimeter, gives the total missing length instead of dividing for one side."
701,Does not know the meaning of vertically opposite
703,"When adding or subtracting surds, just finds the largest square that goes into each number under the surd and adds or subtracts those rather than using the largest square to simplify the surd"
705,"When describing the relationship shown on a scatter graphs, gets the effect on the dependent variable backwards"
707,Believes that fractions with the same denominator are equal
714,Uses the other part instead of total frequency as denominator for relative frequency
716,Rounds a decimal instead of using a fraction in division
720,Believes that 'less than' includes the number 
721,Does not know what the symbol for equal lengths means
722,Thinks the fraction button finds the reciprocal
726,Believes they can reverse a percentage increase or decrease by dividing by the decimal multiplier of the original change
728,Confuses least and most
731,Believes that the third vertex of a triangle will share coordinates with both of the other vertices
738,Believes there are 100cl in a millilitre
740,"Does not recognise that for a shape to be reflected it will be ""flipped"""
741,Includes too many possibilites when given an 'at least' question in probability
744,"When dividing a fraction by an integer, thinks they can just multiply instead"
748,"When finding the negative power of a negative power, assumes they can ignore one of the negatives"
749,"When asked to subtract a fraction from a unit, removes the unit value from the denominator"
750,"When using the capture-recapture method, confuses the order of the calculation to find best estimate of population"
752,Thinks that when dividing numbers in standard form you subtract the number and divide the power
753,Believes when you plot a linear sequence it doesn't give a straight line
755,Does not know which letters can be subtracted in Roman Numerals
761,Subtracts instead of adds when finding a midpoint
763,Believes 'inclusive' does not include the end value
768,Finds the circumference of the whole circle instead of arc length 
769,Confuses the direction of vectors when adding or subtracting
770,Believes class width represents area of the bar in a histogram
771,Believes that the solutions to x<b or x>b also satisfy ax<b or ax>b
774,"When subtracting mixed numbers, does not realise that a negative fractional answer needs to be taken away from their integer answer"
775,"When adding variables with powers, thinks they can add the powers"
776,Does not know how to compare size of angles on a grid without a protractor
777,"When describing the relationship between the parts in a ratio using a fraction, gets the numerator and denominator the opposite way around"
778,Struggles to visualise the new position of an object after transformations
781,"When reading decimals on a number line, assumes each dash is 0.2"
786,"Believes they write the digits next to each other instead of multiplying, when multiplying a vector by an integer."
787,Does not scale up a ratio to find an equivalent value
788,Believes all linear graphs show direct proportion
798,Believes all numbers in a prime factor tree are included in the list of prime factors
799,Only considers elements in one set when asked to find the union of multiple sets
802,"Thinks that when drawing the elevation, the top layer does not need to be included "
803,Believes an axis is scaled correctly if the marked values increase in a linear pattern (ignores the distance from the origin to the first value) 
805,Believes a rotation and a reflection can be combined by applying the rotation to the mirror line
810,Believes the number outside the circles in a Venn represents the intersection
817,Believes adding numbers together gives the highest common factor
818,Believes the median is the category with the median frequency
819,"When drawing a cumulative frequency diagram, thinks you plot the upper bound of the class intervals on the vertical axis"
822,"When rounding, believes that if the number, after the required degree of accuracy, is a 5 or below you round down"
824,"Believes rounding to 1 decimal pleace means rounding to the nearest integer, regardless of the value of the number"
825,"thinks when writing a mixed number fraction as an improper fraction, you need to multiply the denominator by the whole "
826,Confuses intersection and universal set
827,Believes when frequencies multiply by a scale factor in a table the mode also multiplies by that scale factor
830,Gives an example of a factor instead of counting how many total factors a number has
831,Thinks subtraction calculates how many in 
837,Believes that rounding parts of a fraction in different directions means the answer will be the same. 
841,Does not subtract 2 from the number of sides when finding the sum of interior angles
844,Thinks there are 100mm in a metre
846,Thinks there are 1000ml in a centilitre
849,Thinks the nth term is when the value of the term is n
850,Thinks there are 10mm in a metre
853,Does not know how to check tessellation
854,Divided by 100 rather than multiplied by 100
855,Believes integers can have decimal places
856,"When asked to shade a fraction of a shape, gives the total number of parts rather than the number to be shaded."
857,"When the unknown (e.g. x) in an equation is a denominator, gives the value of 1/x rather than x as the answer"
859,Believes they can factorise a difference of two squares by placing the constant in both brackets without square rooting
861,Reads a power as a normal digit
862,Does not understand equivalent ratios
865,Does not recognise a unit of mass
869,Believes multiplying together prime factors that are not shared gives the highest common factor
873,Believes that we cannot calculate the mean of negative numbers
881,adds all given dimensions when calculating area
883,"Believes mirror line must lie on a grid line, not in between grid lines"
884,"When asked for more, find the total"
885,Thinks they can simplify algebraic fractions by cancelling unlike variables
886,Believes that prime numbers cannot be even
887,"When using interpolation to estimate frequency, assumes half the frequency of the class containing the value will be above/below it, even if it is not the midpoint"
889,"Believes when you plot a sequence, the line always passes through (0, 0)"
892,Believes each vertical line on a box plot represents 1 piece of data
896,"When adding fractions with identical numerators, leaves the numerator and adds the denominators"
897,Does not recognise an example of the alternate segment theorem
899,Does not recognise parallel lines angle rules
903,"Has increased by the value of the first value, rather than the difference"
908,"When adding or subtracting surds, believes the numbers under the root and the numbers in front should both be added or subtracted"
913,Believes the numerator stays the same when calculating a second pick of the same type without replacement on a tree diagram
916,Thinks the fraction bar means multiply rather than divide
917,Believes every direct or inverse proportion question uses the formula p=kq
918,Confuses x and y axes
919,Believes the gradient of a speed-time graph is the distance
920,Believes that the cumulative frequency of an interval of grouped data can be used as the cumulative frequency for any value in that interval
921,Reads the wrong scale on the protractor when measuring acute angles
928,Divides when converting to a larger unit
929,"When using the capture-recapture method of sampling, believes you add the number marked first to the number caught second and add that to the number marked second to get the best estimate of population size"
934,Thinks the subtraction sign means divide
938,"Thinks 1 square metre = 100,000 cubic centimetres"
939,Describes position to term rule using term to term rule
943,Divides by (n-2) rather than n when finding an interior angle
945,Does not think a number can be a multiple of itself
949,Confuses midpoint and gradient between two points
953,Believes you cannot find the modal category from a pie chart unless given the total frequency
956,Thinks that fractions involving a fraction as the denominator can just be read as mixed numbers
957,Believes the mean must be an integer
958,Misunderstands how to calculate the upper bound in subtraction
963,Thinks there are 50 minutes in 1 hour
966,Gives an answer of 0 when there are no solutions to an equation.
967,"When solving simultaneous equations graphically, only gives one of two solutions"
970,"In inverse proportion, believes k is the total of the two variables "
973,Finds area of whole circle rather than area of sector
979,Thinks can combine the numerator and denominator after simplifying an algebraic fraction
985,Believes that repeated percentage change is equivalent to a single change by the sum of the percentages
992,"Thinks they find the length of a line between 2 points by adding coordinates, rather than subtracting"
993,Believes the length of the arms influence the size of the angle
995,Believes the lowest common multiple is found my multiplying the numbers together
998,"When the final stage of solving a problem is ""variable to a power"" = constant, assume the constant is the answer, without finding the root."
999,Confuses the method of selection with the group selected in statistics
1000,Draws false conclusion from a pie chart
1001,Does not know how to divide a fraction by an integer
1002,Thinks the elevation is the plan view of a shape
1003,"Believes the equation of a vertical line is in the form y = ax, where a is the x intercept"
1005,"Carries out operations from left to right regardless of priority order, unless brackets are used"
1006,Believes the mean is something divided by the number of categories given
1010,Believes the largest number in a set of numbers is always their highest common factor
1011,Does not know the distributive property
1014,Believes the frequency of the midpoint of a group is half the total frequency of the group
1015,"When answering questions regarding adding items to get a new ratio, looks at the difference between the numbers in the original and new ratio rather than finding the size of a part"
1019,Believes class width = frequency density
1020,Believes it's not possible to solve simultaneous equations graphically
1021,Believes an outlier is not determined by distance from the mean
1023,Believes that the complement of a set in a triple Venn consists of the elements that only belong to one other set
1027,Believes the median is the frequency for the middle category in a table
1034,believes the complement of a set consists of elements which only belong to one set
1037,Believes time = speed x distance
1038,Thinks reciprocal button raises to a power
1039,Believes finding a percentage of an amount involves adding the percentage to 10% of the amount
1042,"When dividing a number written in standard form by an integer, thinks you divide the power on the ten rather than the number component."
1045,"Believes reading from a cumulative frequency diagram will give the frequency above a certain value, rather than below"
1052,Uses length scale factor for volume without cubing
1053,"Believes that when converting ratio to fractions, the denominator is the product of the parts of the ratio"
1056,Chooses an incorrect point in between the shapes when describing a 90 or 270 degree rotation
1059,Does not know the definition of the range
1060,Thinks positive values in a column vector denote movement left and down (and vice-versa for negative values).
1061,When asked to rotate by 90 degrees rotates by 180 degrees
1062,"When using the capture-recapture method of sampling, believes you divide the number caught second by the number marked second to find the best estimate of population size"
1064,Confuses the union and intersection of inequalities
1065,Does not recognise a unit of area in word form
1067,Confuses measures of turn (ie. degrees) and measures of length
1076,Cancels digits when dividing
1077,Believes all multiples of odd numbers are odd
1080,Believes there are 20 minutes in an hour
1081,"When subtracting fractions, divides the numerators"
1084,Has removed brackets but not performed the operation
1085,Multiplied the powers rather than added them
1086,Thinks the perimeter of a sector is the same as arc length 
1087,Thinks the interior angles of a polygon add up to 100n
1088,Believes you add the denominators when finding a fraction of another fraction
1090,Doesn't recognise commutativity of addition with negative numbers
1092,Cannot spot a coefficient within a written scenario
1094,Believes when frequencies multiply by a scale factor in a table the mean also multiplies by that scale factor
1095,Believes that vectors of different magnitudes can be equal.
1096,Thinks there are 10cl in a millilitre
1097,Is not able to identify a situation where Pythagoras' Theorem is needed
1101,Believes stratified samples should be evenly split
1105,Rounds every number to the same degree instead of rounding to significant figures when estimating 
1106,Divides 360 degrees by sum of sides rather than given amount of angles
1109,"On a cumulative frequency diagram, believes the total frequency is the top of the frequency axis rather than the top of the curve"
1111,Does not understand the term 'linear'
1112,"When using Pythagoras' theorem to find a missing side, thinks you multiply the sides together then square root"
1117,"When finding a missing length on similar shapes, just find the scale factor"
1121,Believes biased selection methods can be random
1122,"When enlarging a shape, thinks the scale factor divides the movement from the centre of enlargement to a vertex rather than multiplies"
1125,Multiplies rather than adds when answering worded problems
1127,Believes the variable should remain in place after substituting its value
1129,"When finding a missing part in a ratio, divides rather than multiplies"
1131,"When adding fractions, multiplies the numerators"
1136,"Believes that a general trend of an increase or decrease over time, on a statistical diagram, means that the slope must be in the same direction for the whole time period"
1137,"When squaring a variable with a power, thinks that the power is squared rather than doubled. "
1141,Believes all grouped frequency table need a midpoint column
1143,Mixes up the terms for the parts of a fraction
1147,"When solving a 'more than' problem, believes the first step is to halve the total rather than setting up an equation to help solve"
1149,Believes perpendicular is the term used to describe two lines that are parallel
1154,Believes midpoints are plotted on histograms
1159,"When comparing non like surds, does not square the surds"
1160,Thinks you can find missing values in a given table by treating the row as a sequence of consecutive numbers
1161,Thinks 1 square metre = 10 square centimetres
1162,Mixes up the inequality signs in an error interval
1170,Confuses the order of the digits in stick multiplication
1171,"When solving a problem using written division (bus-stop method), puts the dividend in the wrong place"
1174,Believes the mean from grouped data is the sum of the midpoints divided by something
1178,Does not count both edges when turning a corner when counting perimeter
1182,"Believes only the decimal places with dots above them recur, not the whole string"
1185,"When rationalising the denominator, believes only the numerator or the denominator needs to be multiplied by the surd"
1189,Does not understand that adding on to a multiple can give you the next multiple
1191,Believes that the sign changes when factorising an expression into single brackets
1194,Forgets to halve when finding the missing base angles of an isosceles
1195,Gives the change in value when asked for the percentage change
1197,Confuses frequency and frequency density
1199,Thinks that co-interior angles can lie on opposite sides of a transversal 
1200,Finds the IQR rather than the range
1201,Finds the arc length instead of the area of the sector 
1211,Believes number of squares in a bar gives frequency on a histogram
1217,Assumes the perpendicular height of a triangle bisects the base
1219,Gives the value for the wrong variable when answering a simultaneous equation question
1220,Does not include zero when counting over zero
1221,Converts a decimal to a fraction by writing 1 over the digits of the decimal
1227,Forgets that a number without an indice is to the power of 1 
1228,Believes sets are the same if the elements within them have a shared property
1232,"Thinks the longest bar has the highest frequency on a pictogram, even if the symbols aren't evenly spaced"
1236,Thinks the plan view is taken from an angle to include aspects of the side view and plan
1238,Does not realise the lines at an intersection have to be straight in order to show vertically opposite angles
1239,Believes a cubic equation will have a quadratic graph
1241,Subtracts instead of divides when division is written as a fraction
1242,Does not recognise the similar shape as the shape has been rotated and the scale factor is less than 1
1243,Believes when given a fraction and an amount the question must be to find the fraction of the amount. 
1245,Believes a number written in standard form with a negative power creates a larger number than that with a positive power
1246,"When adding fractions, uses addition of the denominators as a common denominator"
1247,Assumes you cannot use the fact that multiplication is commutative when simplifying an algebraic term. 
1249,"Believes 'given that a, what is the probability of b?' means 'given that b, what is the probability of a?'"
1253,"Thinks 1 cubic metre = 100,000 cubic centimetres"
1254,"Believes that if there are two unknowns in an equation, all integers must be possible solutions"
1267,Identifies a number as a common factor but doesn't identify a letter as a common factor
1273,Thinks they start on the left when doing long multiplication 
1275,Does not relate integers and fractions
1276,"Believes that the y intercept is (0, y) where y is any y coordinate on the line"
1279,Confuses right angle triangles and equilateral triangles
1281,Does not understand that similar shapes and enlarged shapes will have the same size angles as the original
1284,Thinks only like terms can be multiplied
1285,Believes a vertical line has equation y=
1286,believes the complement of a set consists of anything that is not just in that set
1289,Does not understand that the area of an enlarged shape is the area of the original multiplied by the square of the scale factor of the lengths.
1296,Believes there are 90 degrees in a full turn
1297,Believes you keep the divisor unchanged when dividing by a fraction
1298,Thinks multiple letters can be subtracted at once in Roman numerals
1299,Ignores the zero when multiplying
1300,"In direct and inverse proportion, forgets to find the value of k, and carries out calculations as though k were 1"
1301,"When subtracting a surd from an integer, just subtracts the number under the surd from the integer"
1305,believes that a fraction with the largest denominator will be smallest regardless of the numerator
1309,Believes the numerator is the top of a fraction 
1314,Only uses the closest angle to the unknown when using the angles in a straight line relationship
1315,Rounds to the wrong degree of accuracy (nearest ten rather than nearest whole number)
1317,Identifies wrong place value column after decimal point
1323,"When multiplying surds in the form ✓a × b✓c, believes the answer is  ✓(abc)"
1325,Has found area of triangle rather than area of square
1328,"When reading off from the left side of a back to back stem and leaf, mixes up the value of the leaf and the stem"
1330,Believes they can still have the variable on both sides when making it the subject
1331,Believes angles in a quadrilateral sum to 450 degrees
1335,Believes volume of a cuboid is the area of the three unique faces multiplied together
1337,Does not understand the phrase to the power of
1339,Calculated the hours and minutes separately
1341,Multiplies instead of divides by 100 when converting a percentage to a decimal
1342,"When adding decimals, does not keep place value the same as the original digits"
1343,"When substituting into an algebraic term, replaces variables with numbers without multiplying."
1345,Inserts brackets but not changed order of operation
1346,Mixes up squaring with repeating a digit
1347,Believes a circle achieves what a perpendicular bisector does
1351,Does not know the meaning of congruent
1352,Believes cumulative frequency is plotted at the midpoint of the class
1353,Believes two odd numbers multiply to give an even number
1355,Removes a zero from within the digits when rounding
1359,Does not know how to round up when a decimal place value column contains a 9
1366,Subtracts instead of multiplies when using grid method
1368,Confuses parallel and transversal
1369,Halves the radius to find the diameter
1372,Ordered from largest to smallest
1375,Confuses the radius and theta when working with sectors 
1377,Square roots when asked for second multiple
1378,"When solving a problem using written division (bus-stop method), carries the wrong digit"
1381,Believes the gradient is where the line intersects the y axis
1382,"When given two similar objects and asked to find the length scale factor, believes the length scale factor is the area scale factor"
1385,Struggles to draw 3D shapes on isometric paper
1390,Believes having the gradient and y-intercept is not enough information to write an equation for a straight line
1391,Does not know how to find the y intercept when given two other sets of coordinates that lie on a straight line
