ID,Question,Answer,Choice_A,Choice_B,Choice_C,Choice_D,Rationale_A,Rationale_B,Rationale_C,Rationale_D
45,Megan pays $3.57 for a magazine. She gives the cashier $4.00. Which set of coins is not the correct change?,D,4 dimes and 3 pennies,"1 quarter, 3 nickels, and 3 pennies","1 quarter, 1 dime, 1 nickel, and 3 pennies",2 quarters and 3 pennies,Chose the correct change. 4 dimes + 3 pennies = $0.43,Chose the correct change. 0.25 + 0.15 + 0.03 = $0.43,Chose the correct change using the fewest coins. 25 + 10 + 5 + 3 = 43 cents,4.00 - 3.57 = 0.43; does not equal 0.50 + 0.03 = $0.53
46,Carlos cooked from 3:52 p.m. to 4:37 p.m. How much time did he spend cooking?,A,45 minutes,89 minutes,1 hour 15 minutes,1 hour 45 minutes,3:52 to 4:00 = 8 min.; 4:00 to 4:37 = 37 min.; 8 + 37 = 45,Adds 52 + 37 = 89.,Subtracts hours and minutes separately. 4 - 3 = 1; 52 - 37 = 15,Adds an extra hour to correct number of minutes.
47,The equation represents dividing 10 books evenly among 2 shelves. The equation is 10 = 2 × _. How many books are placed on each shelf?,B,2,5,10,20,Uses 2 people given.,10 total/2 people = 5 per person,Uses 10 total oranges given. ,Uses operation given. 2 *10 = 20
48,A bakery has 48 cupcakes to display in their storefront window. They will be evenly arranged in 8 separate rows. Which number sequence can be used to find how many cupcakes will be in each row?,D, 48 + 8 = _, 48 − 8 = _ , 48 × 8 = _ , 48 ÷ 8 = _ ,Total trees + rows,Total trees - rows,Used total trees as number of trees per row.,48 total trees/8 rows = 6 trees per row
49,John has 3 apple trees. Each apple tree produces 6 apples. The total number of apples produced by all the trees is represented by a. Which numerical expression should be used to determine the total number of apples produced by John's apple trees?,C, c = 6 + 3 , c = 6 − 3 , c = 6 × 3 , c = 6 ÷ 3 ,crickets per lizard + lizards,crickets per lizard - lizards,6 crickets per lizard * 3 lizards = 18 total crickets,Used crickets per lizard as total crickets.
50,"A sailor sails 1,036 miles. He sails 100 more miles to reach his destination. How many miles does the sailor sail on his journey?",C,936 miles,"1,046 miles","1,136 miles","2,036 miles","Subtracted 100. 1,036 - 100 = 936","Added 10. 1,036 + 10 = 1,046 greater","1,036 + 100 = 1,136","Add 1000. 1,036 + 1000 = 2,036 "
51,Multiply 95 × 5.,C,70,455,475,"4,525",Calculates 9 * 5 + 5 * 5 = 45 + 25 = 70,Does not carry to the tens place when multiplying.,95 * 5 = 475,Calculates 905 * 5 = 4525
52,"What is the value of the 5 represented in the number 3,592?",C,5,50,500,"5,000",Considers 5 to be in the ones place.,Considers 5 to be in the tens place.,Correct; 5 is in the hundreds place.,Considers 5 to be in the thousands place.
53,"Which is another way to show 19,573?",B," 10 + 9 + 1,000 + 500 + 70 + 3 "," 10,000 + 9,000 + 500 + 70 + 3 "," 10,000 + 9,000 + 570 + 73 "," 10,000 + 9,500 + 500 + 70 + 3 ","Incorrect representation of 19,000.","Correctly wrote 19,573 in expanded form of 10,000 + 9,000 + 500 + 70 + 3.",Duplicates 70 in 570 and 73.,Duplicates 500 in 9500 and 500.
54,"Children in an art class each have sets of colored beads. Bead Sets: Jerry - Square Beads 4 - Triangle Beads 4, Peter - Square Beads 1 - Triangle Beads 7, Lucy - Square Beads 5 - Triangle Beads 3, Susan - Square Beads 2 - Triangle Beads 6. Which child has the greatest fraction of beads that are square?",C,Jerry,Peter,Lucy,Susan,Chooses Jerry. 4/8 = 1/2,Chooses Peter for the least amount.  1/8,5/8 is greatest,Chooses Susan for the 2nd smallest amount: 2/8
55,Sara wants to measure the distance around the edge of a table. Which tool should she use?,B,Inch,Ruler,Thermometer,Yard,"Inch is a unit of measure, not a tool.",Ruler measures length.,"Thermometer measures temperature, not length.","Yard is a unit of measure, not a tool."
56,Mrs. Johnson counts the number of dimes in 3 vending machines. Machine 1 has 152 dimes. Machine 2 has 431 dimes. Machine 3 has 215 dimes. How many dimes are in the 3 vending machines?,B,687,798,804,808,"Omits ""1"" from addition; 52 + 430 + 205 = 687",152 + 431 + 215 = 798,Adds all numbers in list. 152 + 431 + 215 + 1 + 2 + 3 = 804,Adds extra 10 in carrying.
57,"What is the value of the 6 represented in 4,160?",C,6 hundreds,6 ones,6 tens,6 thousands,Did not consider the 1 in the hundreds place.,Did not consider the 0 in the ones place.,60 = 6 tens,Did not consider the 4 in the thousands place.
58,Emily has $5.00. She spends $4.61 on art supplies. Which set of coins shows Emily's change using the fewest coins possible?,B,6 dimes and 1 penny,"1 quarter, 1 dime, and 4 pennies","1 quarter, 2 nickels, and 4 pennies","1 quarter, 2 dimes, and 4 pennies",Chose cents spent.,5.00 - 4.61 = 0.39,"Chose correct change, but not fewest coins.",Miscalculated change.
59,"Sarah needs to bike 1,340 kilometers to reach her friend's house. She has biked 476 kilometers so far. How many more kilometers must Sarah bike?",A,864 miles,974 miles,"1,136 miles","1,816 miles",1340 - 476 = 864,Does not borrow at all.,Subtracts the lesser digit from the greater digit in all places.,Adds 1340 + 476 = 1816
60,"What number is subtracted from 1,000 to result in a remaining number of 421?",B,421,579,621,689,Selects the result of subtraction.,1000 - 421 = 579,Rounded the hundreds place and added the tens and ones place. 1000 - 400 = 600; 600 + 21 = 621,"Rounded in hundreds, tens and ones place. 1000 - 400 = 600; 100 - 20 = 80; 10 - 1 = 9; 600 + 80 + 9 = 689"
61,Which problem has a solution of 8 × 5 = n ?,D,Kareem has 8 shirts and 5 hats. How many shirts and hats does he have altogether?,Mr. Davis has 8 snacks. He gives the same number of snacks to 5 students. How many snacks does Mr. Davis give to each student?,Ms. Blake bakes 8 pies. She sells 5 pies. How many pies does Ms. Blake have left?,Sally has 8 bags of apples. Each bag has 5 apples in it. How many apples does Sally have altogether?,Models 8 + 5 = 13,Models 8 /5 = 1 3/5,Models 8 - 5 = 3,Models 8 * 5 = 40
62,Liam owns 6 albums. Each album contains 12 songs. Liam writes down the equation 6 × 12 = _ . What question is Liam trying to answer when he solves this equation?,D,How many coloring books and pages does she have altogether?,How many coloring books does she have?,How many pages are in 1 coloring book?,How many pages are in 6 coloring books?,Model is 6 + 12* 6 = 78.,Uses the given number of coloring books. ,Uses the given number of pages.,Result is 6* 12 = 72
63,"Concert tickets were sold on 4 days. Ticket Sales: Monday - 195, Tuesday - 225, Wednesday - 192, Thursday - 187. On which day was the least number of tickets sold?",D,Monday,Tuesday,Wednesday,Thursday,Selects the first day listed.,Selects the day with the greatest number of tickets sold. ,Selects the day with the smallest digit in the ones place.,Identified Thursday had the least number of tickets sold: 187.
64,"A bookstore sells pencils in packs. Pencils: Number of Packs 4 - Number of Pencils 32, Number of Packs 5 - Number of Pencils 40, Number of Packs 6 - Number of Pencils 48, Number of Packs 7 - Number of Pencils 56. Following the pattern, how many pencils are in 9 packs?",D,58,64,68,72,Adds two to both packages and slices. 7 + 2 = 9; 56 + 2 = 58,Multiples by eight. 8 * 8 = 64,Calculates 8 * 9 = 68.,8 * 9 = 72
65,Consider this mathematical equation. 12 _ 2 = 24 _ 4. Can you identify the sign that fits both blanks to make this equation correct?,D, + , − , × , ÷ ,12 + 2 = 14; 24 + 4 = 28,12 - 2 = 10; 24 - 4 = 20,12 * 2 = 24; 24 * 4 = 96,12/2 = 6; 24/4 = 6
66,Consider the equation below. 6 × _ = 12. What is the number that makes the equation correct?,A,2,6,18,72,6 * 2 = 12,Used addition. 6 + 6 = 12,Used addition. 6 + 12 = 18,Used multiplication. 6 * 12 = 72
67,"Johnson biked 306 miles from the the mountain to the first campsite. Then he biked 119 miles from the campsite to the city. To the nearest hundred, which is the best estimate of the total number of miles Johnson biked?",A, 300 + 100 , 300 + 120 , 310 + 120 , 400 + 200 ,306 + 119 = 425 which rounds to 400 (300 + 100),"Rounded to tens place, not hundreds.","Rounded to nearest tens, not hundred.",Rounded up both values to hundreds place.
68,Add 261 + 649.,D,388,800,810,910,Subtracts rather than adds. 649 - 261 = 388,Does not carry at all.,Does not carry into the hundreds place.,649 + 261 = 910
69,Add 329 + 498 + 117. ,D,824,844,934,944,Does not carry at all.,Does not carry into the hundreds place.,Does not carry the extra 10 into the tens place.,329 + 117 + 498 = 944
70,"Books are sold in bundles. Book bundles: 3 bundles - ? books, 6 bundles - 18 books, 9 bundles - 27 books, 12 bundles - 36 books, 15 bundles - 45 books. How many books are contained in 3 bundles?",C,3,6,9,12,Chooses the number of juice boxes in 1 package.,Adds 3 packages + 3 juice boxes = 6,3 * 3 = 9,Subtract 18 - 6 = 12.
71,Emma counted the number of marbles in her jar. She rounded the number of marbles to the nearest ten. The number of marbles rounds to 600. How many marbles could be in Emma's jar?,B,578,602,618,642,Rounded 578 to the nearest ten; 580.,602 rounded to nearest ten is 600,Rounded 618 to nearest ten; 620,Rounded 642 to nearest ten; 640
72,Add 312 + 299.,B,501,611,613,"1,611",Does not carry at all.,312 + 299 = 611,Calculates 13 = 2 + 9.,Adds an extra 1000.
73,"Maria read for 43 minutes on Monday, 28 minutes on Tuesday, and 59 minutes on Wednesday. What was the total number of minutes she spent reading?",C,110 minutes,120 minutes,130 minutes,131 minutes,Does not carry into the tens place.,Does not carry extra 10 into the tens place.,43 + 28 + 59 = 130,Adds extra 1 in the ones place
74,"Consider the following two equations. 4 _ 3 = 12, 8 _ 5 = 40. What symbol makes both equations correct?",C, + , − , × , ÷ ,4 + 3 = 7; 8 + 5 = 13,4 - 3 = 1; 8 - 5 = 3,4 * 3 = 12; 8 * 5 = 40,4 * 3 = 1 1/3; 8 / 5 = 1 3/5
75,"What is the number 1,360 written in words?",B,One thousand three hundred six,One thousand three hundred sixty,Thirteen hundred six,Thirteen thousand sixty,Writes 6 in place of 60.,"Correctly wrote 1,360 in written form of one thousand three hundred sixty.",Writes 6 in place of 60.,Writes thousand in place of hundred.
76,Add 256 + 147 + 408.,D,711,791,801,811,Does not carry into the hundreds place.,Does not carry into the tens place.,Does not carry the extra 10 into the tens place.,256 + 408 + 147 = 811
77,"Consider the two mathematical equations. 5 _ 1 = 5, 4 _ 2 = 8. Which symbol makes both equations correct?",C, + , − , × , ÷ ,5 + 1 = 6; 4 + 2 = 6,5 - 1 = 4; 4 - 2 = 2,5 * 1 = 5; 4 * 2 = 8,5 / 1 = 5; 4 / 2 = 2
78,"At the start of the gardening club, there were 66 members. In the first week, 17 more members joined. In the second week, 9 more members joined. How many members were in the gardening club by the end of the second week?",D,26,75,83,92,Adds two given numbers. 17 + 9 = 26,Adds two given numbers. 66 + 9 = 75,Adds two given numbers. 66 + 17 = 83,66 + 17 + 9 = 92
79,Which list shows the numbers in order from highest to lowest?,D," 67,890  68,790  68,970  67,980 "," 67,890  67,980  68,790  68,970 "," 68,970  68,790  67,890  67,980 "," 68,970  68,790  67,980  67,890 ",Incorrectly placed the last number in the list.,Selects least to greatest values.,Switched the last 2 numbers. ,"Identified the list with numbers ordered greatest to least: 68,970, 68,790, 67,980, 67,890."
80,"In a botanical garden, there are 117 rose bushes, 13 tulips, and 25 daffodils. What is the total number of plants in the garden?",D,130,142,145,155,Adds only two values. 117 + 13 = 130,Adds only two values. 117 + 25 = 142,Does not regroup from the ones place.,117 + 13 + 25 = 155
81,"At Riverbend High School, there are 632 students. On Monday, 19 students were absent, and 28 students were on a field trip. How many students were present at school on Monday?",A,585,604,613,623,632 - 19 - 28 = 585,Does not consider the absent students. 632 -28 = 604,Does not consider the students away on field trip. 632 - 19 = 613,Adds the absent students instead of subtracts. 632 - 28 + 19 = 623
82,Which tool could be used to measure the length of a book to the nearest 1/2 inch?,B,Clock,Ruler,Scale,Thermometer,"Measures time, not length.",Measures length.,"Measures weight, not length.","Measures temperature, not length."
83,"Alex collected 1,324 comic books. He gave his brother 186 comic books and his cousin 228 comic books. About how many comic books does Alex have remaining?",B,800,900,"1,000","1,100",Considers 1300 - 200 - 300 = 800.,1324 - 186 - 228 = 910; about 900,Considers 1300 - 100 - 200 = 1000.,Considers 1400 - 100 - 200 = 1100.
84,"Sally is a programmer who codes for 8 hours each day. She continues for 4 days. What equation can be used to calculate h, the total hours Sally spent coding?",C, h = 8 + 4 , h = 8 − 4 , h = 8 × 4 , h = 8 ÷ 4 ,8 hours each week + 4 weeks,8 hours each week - 4 weeks,8 * 4 = 32 total hours,8 hours each week / 4 weeks
85,"Which number is not equal to 7,406?",D, 7 thousands + 4 hundreds + 6 ones , 7 thousands + 40 tens + 6 ones , 74 hundreds + 6 ones , 74 tens + 6 ones ,7000 + 400 + 6 = 7406,7000 + 400 +6 = 7406,7400 + 6 = 7406,740+ 6 = 746
86,Consider this calculation: 12 × 3 = _ + 6. What number makes the calculation correct?,C,6,9,30,36,Used multiplication on both sides of the equation.  12 x 3 = 6 x 6,Used addition on both sides of the equation. 12 + 3 = 9 + 6,12 x 3 = 30 + 6,Multiplied the values on the left side of the equation. 12 x 3
87,"Ella, Liam, and Zoe have 21 marbles. They distribute the marbles equally. How many marbles does each person receive?",C,3,6,7,8,Selects number of people sharing the balloons.,Miscalculates 21/3 = 6.,21/3 = 7,Miscalculates 21/3 = 8.
88,Ms. Carter had 18 markers. She divided all the markers among her 3 students. How many markers did each student get?,C,3,5,6,54,Selects number of children.,Miscalculates 18/3 = 5.,18/ 3 = 6,Multiples number of pencils by number of children. 18 * 3 = 54
89,Sarah sliced a pie into 4 equal portions. She ate 3 portions. What fraction of the pie did Sarah eat?,B, 1/4 , 3/4 , 4/3 , 4/1 ,Chooses 1 piece left out of 4 total pieces of a sandwich.,3 eaten pieces out of 4 total pieces of a sandwich.,Reciprocal of correct fraction.,Uses the proportion of 4 pieces eaten and 1 piece left.
