,MisconceptionId,MisconceptionName,response
10,10,"Believes duration can be read from a timetable, rather than calculating from start and end times","<Construct Name>Time calculations from timetables </Construct Name>
<Subject Name>Time and Scheduling </Subject Name>
<Question>A train timetable shows that the train departs from Station A at 08:45 and arrives at Station B at 10:15. 

How long is the journey between Station A and Station B? </Question> 
<Correct Answer>1 hour and 30 minutes </Correct Answer>
<Incorrect Answer>10:15 </Incorrect Answer>
"
11,11,"When reading value from graph, reads from the wrong axes.","<Construct Name>Coordinate Reading on a Cartesian Plane</Construct Name>
<Subject Name>Algebra</Subject Name>
<Question>In the coordinate plane, the point \( A \) is at \( (P, Q) \) and it's known to be on the line \( y = \frac{1}{2}x + 3 \).

If this point lies on the line when \( x = 4 \), find the coordinates \( (P, Q) \).

![The graph depicts a straight line \( y = \frac{1}{2}x + 3 \)]() </Question>
<Correct Answer>\( \begin{array}{c}P=4 \\ Q=5\end{array} \) </Correct Answer>
<Incorrect Answer>\( \begin{array}{c}P=5 \\ Q=4\end{array} \) </Incorrect Answer>
"
12,12,Thinks that the side view does not include the furthest rows back,"<Construct Name>Visualizing three-dimensional shapes from different perspectives</Construct Name>
<Subject Name>Geometry</Subject Name>
<Question>A school auditorium has a rectangular seating arrangement. From the side view, you can see 5 rows, each with 8 seats. If you look from the front view, you see 8 seats in the first row. What is the maximum number of seats visible from the side view?</Question>
<Correct Answer>From the side view, all 5 rows of 8 seats are visible, so the maximum number of seats visible is 5 rows x 8 seats = 40 seats.</Correct Answer>
<Incorrect Answer>Some might incorrectly think that the side view includes fewer seats by not counting the furthest rows back. They might say only the first row of 8 seats is visible.</Incorrect Answer>
"
13,13,"Does not subtract from the hours, when having to borrow for a time calculation","<Construct Name>Calculating elapsed time by applying borrowing between hours and minutes</Construct Name>

<Subject Name>Time Calculation</Subject Name>

<Question>Johnny starts his bike ride at 3:45 PM and finishes at 6:15 PM. He wants to know how long his ride was. To perform this calculation, subtract the start time from the end time.</Question>

<Correct Answer>The correct calculation is as follows:  
1. Start by borrowing 1 hour from 6 to make the calculation easier:  
   6:15 becomes 5:75.  
2. Subtract 3:45 from 5:75:  
   \[
   5:75 - 3:45 = 2:30 
   \]  
Therefore, the bike ride lasted 2 hours and 30 minutes.</Correct Answer>

<Incorrect Answer>A common mistake occurs if the student fails to borrow hours correctly:  
1. Misinterpret the time subtraction directly without borrowing  
    \[
    6:15 - 3:45 = 3:30 
    \]  
This incorrect result arises from subtracting 45 from 15 without borrowing, resulting incorrectly in 30 minutes instead of negative 30, thereby mistakenly adding more than an hour to the total duration.</Incorrect Answer>
"
14,14,Does not understand how to create a multiple of an equation,"<Construct Name>Creating equivalent equations by multiplying the entire equation by a constant</Construct Name>  
<Subject Name>Linear Equations</Subject Name>  
<Question>James has the equation:
\[
2x + 4y = 20
\]
He claims to have created a related equation by writing:
\[
4x + 8y = 40
\]
Sarah tries to create a related equation by writing:
\[
4x + 7y = 35
\]
Who has written a related linear equation starting from the original?</Question>  
<Correct Answer>James</Correct Answer>  
<Incorrect Answer>Neither is correct, or Both are correct</Incorrect Answer>  
"
15,15,"Confuses the order of operations, believes addition comes before division","<Construct Name>Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division </Construct Name>
<Subject Name>BIDMAS </Subject Name>
<Question>\( 15 \div 3 + 4 = \) </Question>
<Correct Answer>\( 9 \) </Correct Answer>
<Incorrect Answer>\( 1.6 \) </Incorrect Answer>
"
16,16,Believes that graphs of inverse proportion meet the axes,"<Construct Name>Recognise graphical representations of inverse proportion in the form y = k/x </Construct Name>

<Subject Name>Indirect (Inverse) Proportion </Subject Name>

<Question>Suppose you are throwing a party, and you notice that the amount of pizza each person gets \( (p) \) is inversely proportional to the number of people attending \( (n) \). Which graph shows this relationship correctly?</Question>

<Correct Answer>![A hyperbolic curve starting high on the y-axis and approaching the x-axis as it moves rightward, never touching either axis]() </Correct Answer>

<Incorrect Answer>![A straight line from top left to bottom right crossing both axes, intersecting, mistakenly, at the origin]() </Incorrect Answer>
"
17,17,Confuses AM and PM when calculating time,"<Construct Name>Understanding 12-hour time format</Construct Name>
<Subject Name>Time Calculation in Real Life Math</Subject Name>
<Question>Sarah starts her homework at 8:30 PM and finishes after 3 hours and 45 minutes. What time does she finish?</Question>
<Correct Answer>12:15 AM</Correct Answer>
<Incorrect Answer>12:15 PM</Incorrect Answer>
"
18,18,"Given the length of the sides, still does not recognise there is enough information to find the area","<Construct Name>Area calculations of regular shapes</Construct Name>  
<Subject Name>Geometry</Subject Name>  
<Question>You are given a rectangle with the length of 10 units and a width of 4 units. Find the area of the rectangle.</Question>  
<Correct Answer>The area of the rectangle is \(10 \times 4 = 40\) square units.</Correct Answer>  
<Incorrect Answer>Not enough information to find the area.</Incorrect Answer>  
"
19,19,"When multiplying a surd by an integer, adds the integer to the number under the surd","<Construct Name>Multiply surds by an integer </Construct Name>  
<Subject Name>Operations with Surds </Subject Name>  
<Question>\(5 \times \sqrt{7}\)  

Simplify, if possible. </Question>  
<Correct Answer>\( 5 \sqrt{7} \) </Correct Answer>  
<Incorrect Answer>\( \sqrt{12} \) </Incorrect Answer>  
"
20,20,Believes the number of wholes in a mixed number multiplies by the fraction part,"<Construct Name>Operations with Mixed Numbers</Construct Name>  
<Subject Name>Arithmetic with Fractions</Subject Name>  
<Question>Perform the following operation and express the result as a mixed number:  
\[
3 \frac{2}{3} + 4 \frac{1}{3}
\]  
</Question>  
<Correct Answer>\( 8 \) </Correct Answer>  
<Incorrect Answer>\( 7 \frac{5}{9} \) </Incorrect Answer>  


"
21,21,Estimates shares of a ratio instead of calculating,"<Construct Name>Divide a quantity into multiple parts for a given ratio, where each part is an integer </Construct Name>  
<Subject Name>Ratio and Proportion </Subject Name>  
<Question>Share \( 720 \) apples in the ratio \( 1: 3: 8 \) </Question>  
<Correct Answer>\( 60: 180: 480 \) </Correct Answer>  
<Incorrect Answer>\( 70: 210: 440 \) </Incorrect Answer>  
"
22,22,Confuses the ten thousands and thousands place value columns,"<Construct Name>Round numbers to the nearest ten thousand</Construct Name>  
<Subject Name>Place Value</Subject Name>  
<Question>Round the number below to the nearest ten thousand:  
\( 47320 \) </Question>  
<Correct Answer>\( 47000 \) </Correct Answer>  
<Incorrect Answer>\( 48000 \) </Incorrect Answer>  
"
23,23,Does not understand the command word 'difference',"<Construct Name>Calculate the difference between two numbers </Construct Name>

<Subject Name>Basic Arithmetic and Number Operations </Subject Name>

<Question>John was reading a book where the page numbers on the left and right were 56 and 75, respectively. What is the difference between the two page numbers?</Question>

<Correct Answer>\( 19 \) </Correct Answer>

<Incorrect Answer>\( 75 \) </Incorrect Answer>
"
24,24,Does not understand the term multiple,"<Construct Name>Identifying multiples of a given number</Construct Name>
<Subject Name>Number Theory</Subject Name>
<Question>Find the first three multiples of 7.</Question>
<Correct Answer>The first three multiples of 7 are 7, 14, and 21.</Correct Answer>
<Incorrect Answer>Common misconception: The first three multiples of 7 are 1, 2, and 3, misunderstanding ""multiple"" as just sequential counting.</Incorrect Answer>
"
25,25,Does not realise that when you multiply by 0 the answer will always be 0,"<Construct Name>Multiplicative Identity involving Zero</Construct Name>
<Subject Name>Arithmetic</Subject Name>
<Question>Evaluate the expression: \( 0 \times 7 + 5 \times 3 \)</Question>
<Correct Answer>\( 0 \times 7 + 5 \times 3 = 0 + 15 = 15 \)</Correct Answer>
<Incorrect Answer>\( 0 \times 7 + 5 \times 3 = 7 + 15 = 22 \)</Incorrect Answer>
"
26,26,Thinks x = ? or y = ? is y = x,"<Construct Name>Interpreting equations of lines and solving for points of intersection</Construct Name>

<Subject Name>Coordinate Geometry</Subject Name>

<Question>Find the intersection point of the lines given by the equations \( x = 3 \) and \( y = 4 \).</Question>

<Correct Answer>The intersection point is \( (3, 4) \).</Correct Answer>

<Incorrect Answer>The intersection point is assumed to be \( (4, 4) \) or some students might say \( (3,3) \).</Incorrect Answer>
"
27,27,Believes squaring a fraction requires you to double both parts,"<Construct Name>Operations on fractions involving squaring</Construct Name>  
<Subject Name>Arithmetic and Algebra</Subject Name>  
<Question>Simplify: \( \left(\frac{3}{5}\right)^2 + \frac{1}{4} \)</Question>  
<Correct Answer>\( \frac{9}{25} + \frac{1}{4} = \frac{81}{100} \)</Correct Answer>  
<Incorrect Answer>\( \frac{6}{10} + \frac{1}{4} = \frac{13}{20} \)</Incorrect Answer>  
"
28,28,Thinks the interior angles of any polygon add up to 360,"<Construct Name>Work out the sum of the interior angles in polygons </Construct Name>  
<Subject Name>Angles in Polygons </Subject Name>  
<Question>What do all the interior angles of this shape add up to? ![Irregular heptagon]() </Question>  
<Correct Answer>\( 900^{\degree} \) </Correct Answer>  
<Incorrect Answer>\( 360^{\degree} \) </Incorrect Answer>  
"
29,29,Forgot to simplify the fraction,"<Construct Name>Multiply fractions and simplify the result </Construct Name>  
<Subject Name>Fractions and Multiplication </Subject Name>  
<Question>Find the product and write your answer in its simplest form:  
\(\frac{4}{9} \times \frac{6}{8}\)</Question>  
<Correct Answer>\(\frac{1}{3}\) </Correct Answer>  
<Incorrect Answer>\(\frac{24}{72}\) </Incorrect Answer>
"
30,30,"When asked for a number n times smaller or bigger, subtracts or adds n","<Construct Name>Scaling of quantities</Construct Name>
<Subject Name>Ratios and Proportions</Subject Name>
<Question>A rectangle has a width of 4 units. If the width should be 3 times smaller, what is the new width?</Question>
<Correct Answer>The new width is \(\frac{4}{3}\) units.</Correct Answer>
<Incorrect Answer>The new width is \(4 - 3 = 1\) unit.</Incorrect Answer>
"
31,31,Does not understand bar modelling in algebra,"<Construct Name>Interpret multiplication with variables using a bar model </Construct Name>
<Subject Name>Understanding Multiplication in Algebra </Subject Name>
<Question>Samantha and John are analyzing bar models for the expression \( 4y \). Samantha says this bar model represents \( 4y \) \begin{tabular}{|l|l|l|l|}
\hline \( y \) & \( y \) & \( y \) & \( y \) \\
\hline
\end{tabular} John says this bar model represents \( 4y \) \begin{tabular}{|l|l|}
\hline \( 4 \) & \( y \) \\
\hline
\end{tabular} Who do you agree with, and why? </Question> 
<Correct Answer>Only Samantha, because \( 4y \) implies four units of \( y \), which is represented by partitioning the model into four equal segments each annotated with \( y \). </Correct Answer>
<Incorrect Answer>Only John, because he interpreted \( 4y \) as a bar with \( 4 \) and \( y \) side by side, each taking half the bar, misunderstanding multiplication as addition. </Incorrect Answer>
"
32,32,"When squaring a variable, believes they also need to square the coefficient","<Construct Name>Evaluate an algebraic expression involving the square of a variable with a coefficient</Construct Name>  
<Subject Name>Algebraic Expressions</Subject Name>  
<Question>Evaluate the expression for \( x = 3 \): \( 5x^2 + 3x - 4 \)</Question>  
<Correct Answer>\( 50 \)</Correct Answer>  
<Incorrect Answer> \( 95 \)</Incorrect Answer>  

Explanation:  

When substituting \( x = 3 \) into \( 5x^2 + 3x - 4 \):  
Correct Method:
- \( 5x^2 = 5(3^2) = 5 \cdot 9 = 45 \)
- \( 3x = 3 \cdot 3 = 9 \)
- Combining results: \( 45 + 9 - 4 = 50 \)

Misconception Method:
- Incorrectly squaring the coefficient: \( 5x^2 \rightarrow (5^2)x^2 = 25(3^2) = 25 \cdot 9 = 225 \)
- \( 3x = 3 \cdot 3 = 9 \)
- Resulting in: \( 225 + 9 - 4 = 230 \)  

Thus the error causes an incorrect evaluation of the expression.
"
33,33,Uses more than 3 letters to describe an angle,"<Construct Name>Label angles using correct 3-letter notation (e.g. angle ADB) </Construct Name>
<Subject Name>Geometry - Angle Naming in Geometric Figures </Subject Name>
<Question>Identify the correct name for the marked angle in the hexagon AFGHIJ.  ![The hexagon AFGHIJ is drawn, and angle FGH is highlighted]() </Question>
<Correct Answer>\( F G H \) </Correct Answer>
<Incorrect Answer>AFGH </Incorrect Answer>
"
34,34,Believes dividing a negative by a positive gives a positive answer,"<Construct Name>Solve linear equations involving division by a constant</Construct Name>  
<Subject Name>Algebra </Subject Name>  
<Question>Samantha is solving the following equation:  
\(-12 = 4x\)  
What is the value of \(x\)?  </Question>  
<Correct Answer>\(x = -3\) </Correct Answer>  
<Incorrect Answer>\(x = 3\) </Incorrect Answer>  
"
35,35,Believes you add 2 instead of subtracting 2 to the numbers of sides when finding total interior angles,"<Construct Name>Calculation of the total sum of interior angles in polygons </Construct Name>
<Subject Name>Geometry </Subject Name>
<Question>What is the sum of the interior angles of a nonagon (9-sided polygon)? </Question>
<Correct Answer>\( 1260^{\degree} \) </Correct Answer>
<Incorrect Answer>\( 1620^{\degree} \) </Incorrect Answer>
"
36,36,Enlarges by the wrong centre of enlargement,"<Construct Name>Transformation of a shape using enlargement with a defined centre of enlargement, applying a positive scale factor. </Construct Name>  
<Subject Name>Geometric Transformations </Subject Name>  
<Question>A rectangle is enlarged by a scale factor of \( 2 \), with the centre of enlargement at \( (0,-1) \).  
The rectangle has vertices at \( A(1,1), B(1,3), C(4,3), \) and \( D(4,1) \).  
What are the new coordinates of the point marked \( C \) after the transformation? </Question>  
<Correct Answer>\( (8,5) \) </Correct Answer>  
<Incorrect Answer>\( (7,5) \) </Incorrect Answer>  
"
37,37,Rounded to wrong degree of accuracy (2sf not 1sf),"<Construct Name>Round numbers to a specified degree of accuracy for problem-solving</Construct Name>  
<Subject Name>Numerical Methods</Subject Name>  
<Question>In a physics experiment, a measurement results in the value \( 0.6795 \). If this value must be used in further calculations but needs to be rounded to \( 1 \) significant figure first, what should the rounded value be?</Question>  
<Correct Answer>\( 0.7 \)</Correct Answer>  
<Incorrect Answer>\( 0.68 \)</Incorrect Answer>  
"
38,38,Believes the sides of an inequality can be switched without changing the direction of the sign,"<Construct Name>Solve quadratic inequalities in one variable where factoring is required</Construct Name>  
<Subject Name>Solving Quadratic Inequalities</Subject Name>  
<Question>Solve the inequality:  
\[
x^2 - 5x + 6 < 0
\]  
</Question>  
<Correct Answer>The solutions are \(2 < x < 3\) because the inequality factors to \((x-2)(x-3) < 0\). The critical points are \(x = 2\) and \(x = 3\) and the test intervals need to be checked:  
1. For \(x < 2\), choose \(x = 1\): \((1-2)(1-3) = 2 > 0\), not part of the solution.  
2. For \(2 < x < 3\), choose \(x = 2.5\): \((2.5-2)(2.5-3) = -0.25 < 0\), part of the solution.  
3. For \(x > 3\), choose \(x = 4\): \((4-2)(4-3) = 2 > 0\), not part of the solution.  
Thus, the solution is \(2 < x < 3\).</Correct Answer>  
<Incorrect Answer>The incorrect solution is \(x < 2\) or \(x > 3\) if the student incorrectly believes the inequality can be switched and reads \((x-2)(x-3) > 0\) without changing the direction upon switching the sides of the inequality.</Incorrect Answer>
"
39,39,Multiplies by 1000 instead of 100 when converting a decimal to a percentage,"<Construct Name>Conversion of Decimals to Percentages</Construct Name>  
<Subject Name>Number Sense and Operations</Subject Name>  
<Question>Convert the decimal 0.054 to a percentage.</Question>  
<Correct Answer>5.4%</Correct Answer>  
<Incorrect Answer>54%</Incorrect Answer>  
"
40,40,Believes midpoint multiplied by frequency is equivalent to frequency density,"<Construct Name>Calculate frequency density for a histogram</Construct Name>
<Subject Name>Statistics</Subject Name>
<Question>Given the frequency table below, which shows the ages of employees in a company, calculate the frequency density for the age group 20-30:

| Age Group  | Frequency |
|------------|-----------|
| 10-20      | 5         |
| 20-30      | 15        |
| 30-40      | 10        |

</Question>
<Correct Answer>The width of the age group 20-30 is 10. Thus, the frequency density is calculated as:

\[
\text{Frequency Density} = \frac{\text{Frequency}}{\text{Class Width}} = \frac{15}{10} = 1.5
\]</Correct Answer>
<Incorrect Answer>The midpoint of the age group 20-30 is 25. Thus, the incorrect frequency density is calculated as:

\[
\text{Incorrect Frequency Density} = \text{Frequency} \times \text{Midpoint} = 15 \times 25 = 375
\]</Incorrect Answer>
"
41,41,Believes the mean is the number of categories given divided by something,"<Construct Name>Mean of a data set </Construct Name>
<Subject Name>Statistics </Subject Name>
<Question>Given the following data set representing the number of goals scored in 5 soccer matches: 1, 3, 2, 4, 5, what is the mean number of goals scored? </Question> 
<Correct Answer>The mean number of goals = \(\frac{1 + 3 + 2 + 4 + 5}{5} = \frac{15}{5} = 3\). </Correct Answer>
<Incorrect Answer>The mean number of goals = \(\frac{5 \text{ categories}}{2} = 2.5\). </Incorrect Answer>
"
42,42,Believes that the complement of a set includes any elements which are also in another set.,"<Construct Name>Identify the complement of a set using a Venn diagram</Construct Name>  
<Subject Name>Set Theory</Subject Name>  
<Question>Consider the following sets within the universal set \(U\): \(A\) contains dogs and the intersection with \(B\) contains cats; \(B\) contains birds; and outside both sets, there are fish. What elements are included in \( A^{\prime} \)? ![Venn Diagram showing elements: Left circle for Set A contains dogs, intersection with Set B contains cats; right circle for Set B contains birds; outside the circles is fish.]()</Question>  
<Correct Answer>birds and fish</Correct Answer>  
<Incorrect Answer>cats, birds, and fish</Incorrect Answer>  
"
43,43,Confuses the terms edges and vertices,"<Construct Name>Identifying components of 3D shapes</Construct Name>  
<Subject Name>Geometry</Subject Name>  
<Question>A cube has how many edges and how many vertices?</Question>  
<Correct Answer>A cube has 12 edges and 8 vertices.</Correct Answer>  
<Incorrect Answer>A cube has 8 edges and 12 vertices.</Incorrect Answer>  
"
44,44,"When adding or subtracting surds, just adds or subtracts the numbers under the surd rather than first trying to simplifying to find like surds","<Construct Name>Add surds in the form va + vb </Construct Name>
<Subject Name>Simplifying Surds </Subject Name>
<Question>\( \sqrt{18} + \sqrt{8} \) Simplify, if possible. </Question>
<Correct Answer>\( 3\sqrt{2} + 2\sqrt{2} = 5\sqrt{2} \) </Correct Answer>
<Incorrect Answer>\( \sqrt{26} \) </Incorrect Answer>
"
45,45,"When asked for the value of a digit, gives an answer 10 times too big","<Construct Name>Identify the value of digits in multi-digit decimal numbers </Construct Name>
<Subject Name>Decimals and Place Value </Subject Name>
<Question>What is the value of the \( 4 \) in the decimal number below?
\(
56.748
\) </Question>
<Correct Answer>\( 0.04 \) </Correct Answer>
<Incorrect Answer>\( 0.4 \) </Incorrect Answer>
"
46,46,Does not realise that division can be broken down into factors,"<Construct Name>Understanding factorization and simplification of fractions </Construct Name>  
<Subject Name>Arithmetic and number theory </Subject Name>  
<Question>Simplify the expression:  
\[
\frac{12}{36}
\]  
by breaking down the numbers into their prime factors. </Question>  
<Correct Answer>Break down the numerator and denominator into prime factors:  
\[  
12 = 2^2 \times 3  
\]  
\[  
36 = 2^2 \times 3^2  
\]  
Cancel common factors from both numerator and denominator:  
\[  
\frac{2^2 \times 3}{2^2 \times 3^2} = \frac{1}{3}  
\]  
Thus, the simplified expression is \(\frac{1}{3}\). </Correct Answer>  
<Incorrect Answer>Divide the numerator by the denominator directly without factoring:  
\[  
\frac{12}{36} = 12 \div 36 = 1 \div 3  
\]  
It seems simplified, but without factoring, the mistake might not show the requirement to cancel specific common factors.  
This may incorrectly remain assumed as unsimplified if misunderstood. </Incorrect Answer>  
"
47,47,Believes y=-f(x) is a reflection in y=x,"<Construct Name>Identify vertical reflections of functions and transformations</Construct Name>
<Subject Name>Algebra and Geometry - Transformations of functions</Subject Name>
<Question>Consider the function \( y = x^2 + 2x + 3 \). What transformation results in the function \( y = -(x^2 + 2x + 3) \)?</Question>
<Correct Answer>Reflection in the \[ x\text{-axis} \]</Correct Answer>
<Incorrect Answer>Reflection in the line \[ y = x \]</Incorrect Answer>
"
48,48,Thinks corresponding angles sum to 360 degrees,"<Construct Name>Identifying corresponding angles and their properties</Construct Name>
<Subject Name>Geometry: Parallel Lines and Transversals</Subject Name>
<Question>Find the value of angle \( x \). ![Diagram features two parallel horizontal lines intersected by a single transversal. One of the angles above the upper parallel line and to the right of the transversal is labeled '112 degrees'. Directly corresponding below on the lower parallel line to the right of the transversal is angle \( x \). ]()</Question>
<Correct Answer>\( x = 112^{\circ} \) </Correct Answer>
<Incorrect Answer>\( x = 248^{\circ} \) </Incorrect Answer>
"
49,49,Doesn't believe that when you divide by 0 the answer will always be 0,"<Construct Name>Division by Zero</Construct Name>  
<Subject Name>Arithmetic and Algebra</Subject Name>  
<Question>If \(5x = 0\), what is the value of \(x\)? Express your answer as a fraction if necessary.</Question>  
<Correct Answer>\(x = 0\)</Correct Answer>  
<Incorrect Answer>\(x = \frac{0}{5} = 0\) or any other answer divided by zero might be given as \(x = 0\)</Incorrect Answer>  
"
50,50,"When given a non-unit fraction of an amount and asked to find the total, answers as if it had been the unit fraction","<Construct Name>Finding the whole from a part using fractions</Construct Name>  
<Subject Name>Fractions and Division</Subject Name>  
<Question>Lucy has 8 apples, which is \(\frac{2}{5}\) of the total number of apples she collected. How many apples did Lucy collect in total?</Question>  
<Correct Answer>The total number of apples Lucy collected is 20.</Correct Answer>  
<Incorrect Answer>The total number of apples Lucy collected is 40.</Incorrect Answer>  
"
51,51,Does not use angle facts when setting up an equation from an angle diagram,"<Construct Name>Using supplementary angles on a straight line in algebraic expressions </Construct Name> 
<Subject Name>Geometry and Algebra </Subject Name> 
<Question>![A straight line with two angles on it, labelled as 3x and 4x - 30]() Determine the value of \( x \). </Question> 
<Correct Answer>\( x = 30 \) </Correct Answer> 
<Incorrect Answer>\( x = 50 \) </Incorrect Answer>
"
52,52,When asked for a specific term in a sequence gives the term before,"<Construct Name>Understand and calculate terms in arithmetic sequences using an explicit formula </Construct Name>
<Subject Name>Arithmetic Sequences </Subject Name>
<Question>Given the arithmetic sequence where the first term \( a_1 = 3 \) and the common difference \( d = 4 \), what is the 6th term in the sequence? </Question> 
<Correct Answer>\( 23 \) </Correct Answer>
<Incorrect Answer>\( 19 \) </Incorrect Answer>

<Construct Name>Recognizing patterns and predicting future terms in a geometric sequence </Construct Name>
<Subject Name>Geometric Sequences </Subject Name>
<Question>If a geometric sequence starts with 5 and each term is multiplied by 3, what is the 4th term in the sequence? </Question> 
<Correct Answer>\( 135 \) </Correct Answer>
<Incorrect Answer>\( 45 \) </Incorrect Answer>

<Construct Name>Applying a quadratic sequence formula to find a specific term </Construct Name>
<Subject Name>Quadratic Sequences </Subject Name>
<Question>Given the quadratic sequence: \( 2, 7, 14, 23, 34, \ldots \), find the value of the 5th term in the sequence. </Question> 
<Correct Answer>\( 34 \) </Correct Answer>
<Incorrect Answer>\( 23 \) </Incorrect Answer>
"
53,53,Thinks circumference is radius x pi,"<Construct Name>Circumference of a Circle </Construct Name>
<Subject Name>Geometry </Subject Name>
<Question>Calculate the circumference of a circle with a radius of 4 cm. </Question> 
<Correct Answer>\( 8\pi \ \text{cm} \) </Correct Answer>
<Incorrect Answer>\( 4\pi \ \text{cm} \) </Incorrect Answer>
"
